index,Ubuntu Server documentation,11322,landing page,/t/-/11322,--,--
tutorial,Tutorials,29948,landing page,/t/-/29948,--,--
basic-installation,Basic installation,11320,tutorial,/t/-/11320,Getting started,--
attach-your-ubuntu-pro-subscription,Attach your Ubuntu Pro subscription,26222,tutorial,/t/-/26222,Next steps,--
how-to,How-to guides,29950,landing page,/t/-/29950,--,--
how-to-netboot-the-server-installer-on-amd64,amd64 netboot install,16620,how-to,/t/-/16620,Server installation,amd64
netboot-the-server-installer-via-uefi-pxe-on-arm-aarch64-arm64-and-x86-64-amd64,arm64 netboot install,19240,how-to,/t/-/19240,Server installation,arm64
netboot-the-live-server-installer-on-ibm-power-ppc64el-with-petitboot,ppc64el netboot install,15348,how-to,/t/-/15348,Server installation,ppc64el
how-to-start-a-live-server-installation-on-ibm-power-ppc64el-with-a-virtual-cd-rom-and-petitboot,Virtual CD-ROM and Petitboot install on ppc64el,16694,how-to,/t/-/16694,Server installation,ppc64el
interactive-live-server-installation-on-ibm-z-vm-s390x,s390x install via z/VM,16604,how-to,/t/-/16604,Server installation,s390x
non-interactive-ibm-z-vm-autoinstall-s390x,Non-interactive IBM z/VM autoinstall (s390x),16995,how-to,/t/-/16995,Server installation,s390x
interactive-live-server-installation-on-ibm-z-lpar-s390x,s390x install via LPAR,16601,how-to,/t/-/16601,Server installation,s390x
non-interactive-ibm-z-lpar-autoinstall-s390x,Non-interactive IBM Z LPAR autoinstall (s390x),16988,how-to,/t/-/16988,Server installation,s390x
virtualisation-with-qemu,QEMU,11523,how-to,/t/-/11523,Virtualisation,Virtual machines
create-qemu-vms-with-up-to-1024-vcpus,QEMU VMs with up to 1024 vCPUs,43901,how-to,/t/-/43901,Virtualisation,Virtual machines
boot-arm64-virtual-machines-on-qemu,ARM64 VMs on QEMU,44038,how-to,/t/-/44038,Virtualisation,Virtual machines
how-to-create-a-vm-with-multipass,Multipass,11983,how-to,/t/-/11983,Virtualisation,Virtual machines
create-cloud-image-vms-with-uvtool,UVtool,11524,how-to,/t/-/11524,Virtualisation,Virtual machines
libvirt,Libvirt and virsh,11522,how-to,/t/-/11522,Virtualisation,VM tooling
virtual-machine-manager,virt-manager,13436,how-to,/t/-/13436,Virtualisation,VM tooling
how-to-enable-nested-virtualization,Nested virtualization,41694,how-to,/t/-/41694,Virtualisation,VM tooling
how-to-set-up-ubuntu-on-hyper-v,Ubuntu on Hyper-V,43642,how-to,/t/-/43642,Virtualisation,Other virtual tools
lxc-containers,LXC,11526,how-to,/t/-/11526,Containers,--
lxd-containers,LXD,11525,how-to,/t/-/11525,Containers,--
docker-for-system-admins,Docker for sysadmins,39799,how-to,/t/-/39799,Containers,--
how-to-run-rocks-on-your-server,How to run rocks on your server,28708,how-to,/t/-/28708,Containers,--
network-file-system-nfs,Network File System (NFS),11571,how-to,/t/-/11571,Networking,--
set-up-an-ftp-server,File Transfer Protocol (FTP),11319,how-to,/t/-/11319,Networking,--
how-to-install-and-configure-isc-kea,Install isc-kea,36290,how-to,/t/-/36290,Networking,--
how-to-install-and-configure-isc-dhcp-server,Install isc-dhcp-server,36288,how-to,/t/-/36288,Networking,--
use-timedatectl-and-timesyncd,Synchronise time,36310,how-to,/t/-/36310,Networking,--
how-to-serve-the-network-time-protocol-with-chrony,Serve the NTP,36311,how-to,/t/-/36311,Networking,--
how-to-use-dpdk-with-open-vswitch,Use Open vSwitch with DPDK,13085,how-to,/t/-/13085,Networking,--
domain-name-service-dns,Domain Name Service (DNS),11318,how-to,/t/-/11318,Networking,--
member-server-in-an-active-directory-domain,Join Active Directory,11893,how-to,/t/-/11893,Samba,--
samba-as-a-file-server,Set up a file server,11889,how-to,/t/-/11889,Samba,--
samba-as-a-print-server,Set up a print server,11890,how-to,/t/-/11890,Samba,--
share-access-controls,Share access controls,11891,how-to,/t/-/11891,Samba,--
samba-apparmor-profile,Create AppArmor profile,29296,how-to,/t/-/29296,Samba,--
how-to-mount-cifs-shares-permanently,Mount CIFS shares permanently,43366,how-to,/t/-/43366,Samba,--
nt4-domain-controller-legacy,NT4 domain controller,11892,how-to,/t/-/11892,Samba,Legacy pages
openldap-backend-legacy,OpenLDAP backend,15698,how-to,/t/-/15698,Samba,Legacy pages
join-a-domain-with-winbind-preparation,Prepare to join a domain,44784,how-to,/t/-/44784,Active Directory integration,--
join-a-simple-domain-with-the-rid-backend,Join a simple domain with the rid backend,44785,how-to,/t/-/44785,Active Directory integration,--
join-a-forest-with-the-rid-backend,Join a forest with the rid backend,44786,how-to,/t/-/44786,Active Directory integration,--
join-a-forest-with-the-autorid-backend,Join a forest with the autorid backend,44787,how-to,/t/-/44787,Active Directory integration,--
how-to-install-a-kerberos-server,Install a Kerberos server,11331,how-to,/t/-/11331,Kerberos,--
how-to-configure-kerberos-service-principals,Configure service principals,27819,how-to,/t/-/27819,Kerberos,--
kerberos-encryption-types,Kerberos encryption types,35258,how-to,/t/-/35258,Kerberos,--
how-to-set-up-a-secondary-kdc,Set up secondary KDC,27820,how-to,/t/-/27820,Kerberos,--
how-to-set-up-basic-workstation-authentication,Basic workstation authentication,27821,how-to,/t/-/27821,Kerberos,--
how-to-set-up-kerberos-with-openldap-backend,Kerberos with OpenLDAP backend,15356,how-to,/t/-/15356,Kerberos,--
how-to-set-up-sssd-with-active-directory,SSSD with Active Directory,27888,how-to,/t/-/27888,Network user authentication with SSSD,--
how-to-set-up-sssd-with-ldap,SSSD with LDAP,27895,how-to,/t/-/27895,Network user authentication with SSSD,--
how-to-set-up-sssd-with-ldap-and-kerberos,SSSD with LDAP and Kerberos,27896,how-to,/t/-/27896,Network user authentication with SSSD,--
